variable_name,variable_value,variable_label
hxsurg,1,yes
ibd,1,CD
ibd,2,UC
ibd,3,IC
immuno,0,no
immuno,1,yes
inflix,0,no
inflix,1,yes
last_hosp,1,Less than 1 year ago
last_hosp,2,1-2 years ago
last_hosp,3,3-10 years ago
last_hosp,4,More than 10 years ago
last_hosp,5,Don't know
manitoba,1,Constantly active
manitoba,2,Often active
manitoba,3,Sometimes active
manitoba,4,Occasionally active
manitoba,5,Rarely active
manitoba,6,remission/absence of symptoms
mtx_inj,0,no
mtx_inj,1,yes
mtx_oral,0,no
mtx_oral,1,yes
narc,0,no
narc,1,yes
nataliz,0,no
nataliz,1,yes
newhosp,0,no
newhosp,1,yes
nsaids,0,no
nsaids,1,yes
num_hosp,1,1 time
num_hosp,2,2 times
num_hosp,3,3 times
num_hosp,4,4 times
num_hosp,5,5 times
num_hosp,6,More than 5 times
num_hosp,7,Don't know
ostomy,0,no
ostomy,1,yes
oth_alttx,0,no
oth_alttx,1,yes
other_meds,0,no
other_meds,1,yes
pcp_doc,1,yes
pcp_doc,2,no
pcp_doc,3,don't know
pcp_pastyear,1,Never
pcp_pastyear,2,1 or 2 times
pcp_pastyear,3,3 or 4 times
pcp_pastyear,4,5 or more times
pcp_pastyear,5,Dont know
pouch,0,no
pouch,1,yes
probio,0,no
probio,1,yes
probx,0,no
probx,1,yes
q10110,1,Not at all
q10110,2,Less than once a month
q10110,3,About once a month
q10110,4,About 2 or 3 times a month
q10110,5,About 1 to 2 times a week
q10110,6,3 times or more a week
q10120,1,Yes
q10120,2,No
q10120,3,Don't know
q10130,1,Abdomen only
q10130,2,Near the rectum only
q10130,3,Both abdomen and rectum
q10130,4,Other
q10130,5,Don't know
q10140,1,Yes
q10140,2,No
q10140,3,Don't know
q10200,1,Yes
q10200,2,No
q10200,3,Don't know
q2280,1,Remission (no symptoms)
q2280,2,Minimal symptoms
q2280,3,Mildly active
q2280,4,Moderately active
q2280,5,Severely active
q2520,1,Just the rectum
q2520,2,The rectum and sigmoid colon
q2520,3,"The rectum, sigmoid colon, and descending colon (sometimes referred to as left side of colon or left-sided disease)"
q2520,4,"The rectum, sigmoid colon, descending colon and transverse colon"
q2520,5,The entire colon (sometimes referred to as pancolitis)
q2520,6,Don't know
q2540,1,Normal
q2540,2,1-2 stools per day more than normal
q2540,3,3-4 stools per day more than normal
q2540,4,5 or more stools per day more than normal
q26005,1,Yes
q26005,2,No
q26005,3,Don't know
q26010,1,Yes
q26010,2,No
q26010,3,Don't know
q30600,1,Poor
q30600,2,Fair
q30600,3,Good
q30600,4,Very good
q30600,5,Excellent
q30610,1,Not at all
q30610,2,A little
q30610,3,Moderately
q30610,4,Mostly
q30610,5,Completely
q30620,1,Never
q30620,2,Rarely
q30620,3,Sometimes
q30620,4,Usually
q30620,5,Always
q3070,1,Yes
q3070,2,No
q3081,1,Yes
q3081,2,No
q3081,3,Don't know
q3083,1,Yes
q3083,2,No
q3083,3,Don't know
q3085,1,Yes
q3085,2,No
q3085,3,Don't know
q3120,1,Yes
q3120,2,No
q3120,3,Don't know
q45002,1,Yes
q45002,2,No
q45004,1,Yes
q45004,2,No
q45020,1,Commercial - Aetna Life Insurance Company (Alaska) (PPO/EPO)-AK
q45020,2,Commercial - Compass Rose Health Plan (PPO)-AK
q45020,3,"Commercial - Moda Health Plan, Inc. (Alaska) (PPO)-AK"
q45020,4,Commercial - Premera Blue Cross Blue Shield of Alaska (PPO)-AK
q45020,5,"Commercial - UnitedHealthcare Military & Veterans Services, LLC (POS)-AK"
q45020,6,"Medicare - Sierra Health and Life Insurance Company, Inc. (AK) (PPO)-AK"
q45020,7,Commercial - Aetna Life Insurance Company (Alabama) (PPO/EPO)-AL
q45020,8,Commercial - Blue Cross and Blue Shield of Alabama (PPO)-AL
q45020,9,Commercial - Compass Rose Health Plan (PPO)-AL
q45020,10,"Commercial - United Healthcare Services, Inc (Alabama) (PPO)-AL"
q45020,11,Commercial - UnitedHealthcare Insurance Company (Alabama) (PPO)-AL
q45020,12,Medicare - Aetna Life Insurance Company (Alabama) (PPO)-AL
q45020,13,Medicare - Blue Cross and Blue Shield of Alabama (PPO)-AL
q45020,14,Medicare - Care Improvement Plus South Central Insurance Company (HMO/POS)-AL
q45020,15,"Medicare - HealthSpring of Alabama, Inc. (HMO)-AL"
q45020,16,"Medicare - Humana Benefit Plan of Illinois, Inc. (PPO)-AL"
q45020,17,Medicare - Humana Insurance Company (PPO)-AL
q45020,18,"Medicare - Sierra Health and Life Insurance Company, Inc. (AL,MS,SC,TN) (PPO)-AL"
q45020,19,"Medicare - UnitedHealthcare Insurance Company (AL,FL,GA,KY,MS,NC,SC,TN) (PPO)-AL"
q45020,20,"Medicare - UnitedHealthcare of the Midlands, Inc. (AL) (HMO)-AL"
q45020,21,"Medicare - VIVA Health, Inc. (HMO)-AL"
q45020,22,Commercial - Aetna Life Insurance Company (Arkansas) (PPO/EPO)-AR
q45020,23,Commercial - Compass Rose Health Plan (PPO)-AR
q45020,24,"Commercial - QualChoice Arkansas Health Plan, Inc. (HMO/POS/PPO)-AR"
q45020,25,"Commercial - United Healthcare Services, Inc (Arkansas) (PPO)-AR"
q45020,26,Commercial - UnitedHealthcare Insurance Company (Arkansas) (PPO)-AR
q45020,27,Medicare - Arkansas Blue Cross & Blue Shield (HMO)-AR
q45020,28,Medicare - Arkansas Blue Cross & Blue Shield (PPO)-AR
q45020,29,Medicare - Care Improvement Plus South Central Insurance Company (PPO)-AR
q45020,30,Medicare - Coventry Health and Life Insurance Company (Iowa) (PPO)-AR
q45020,31,"Medicare - Coventry Health Care of Missouri, Inc. (HMO/POS)-AR"
q45020,32,Medicare - Harmony Health Plan of Illinois (Arkansas) (HMO)-AR
q45020,33,Medicare - HealthSpring Life and Health (HMO)-AR
q45020,34,Medicare - HealthSpring Life and Health (PPO)-AR
q45020,35,Medicare - HealthSpring of Tennessee (HMO)-AR
q45020,36,Medicare - Humana Insurance Company (PPO)-AR
q45020,37,"Medicare - Sierra Health and Life Insurance Company, Inc. (AR,LA,NM,OK,TX) (PPO)-AR"
q45020,38,"Medicare - UnitedHealthcare Insurance Company (AR,LA,OK,TX) (PPO)-AR"
q45020,39,"Medicare - UnitedHealthcare of the Midlands, Inc. - AR (HMO)-AR"
q45020,40,Commercial - Aetna Health Inc. (Pennsylvania) - Arizona (HMO/POS)-AZ
q45020,41,Commercial - Aetna Life Insurance Company (Arizona) (PPO/EPO)-AZ
q45020,42,Commercial - Cigna Health and Life Insurance Company - Arizona (PPO)-AZ
q45020,43,"Commercial - Cigna HealthCare of Arizona, Inc. (HMO/POS)-AZ"
q45020,44,Commercial - Compass Rose Health Plan (PPO)-AZ
q45020,45,Commercial - Connecticut General Life Insurance Company - Arizona (PPO)-AZ
q45020,46,"Commercial - Health Net of Arizona, Inc. (HMO)-AZ"
q45020,47,"Commercial - Humana Health Plan, Inc. (Arizona) (HMO/POS)-AZ"
q45020,48,"Commercial - United Healthcare Services, Inc. (Arizona) (PPO)-AZ"
q45020,49,Commercial - UnitedHealthcare Insurance Company (Arizona) (PPO)-AZ
q45020,50,"Commercial - UnitedHealthcare Military & Veterans Services, LLC (POS)-AZ"
q45020,51,"Commercial - UnitedHealthcare of Arizona, Inc. (HMO)-AZ"
q45020,52,"Medicaid - Arizona Physicians IPA, Inc. Medicaid Managed Care Operations (HMO)-AZ"
q45020,53,Medicaid - Phoenix Health Plan (HMO)-AZ
q45020,54,Medicaid - SCHN/ Mercy Care Plan (HMO)-AZ
q45020,55,Medicare - Aetna Health Inc. (Pennsylvania) - Arizona (HMO)-AZ
q45020,56,Medicare - Aetna Life Insurance Company (Arizona) (PPO)-AZ
q45020,57,"Medicare - Arizona Physicians IPA, Inc. Medicaid Managed Care Operations (HMO)-AZ"
q45020,58,Medicare - CareMore HealthPlan (HMO)-AZ
q45020,59,"Medicare - Cigna HealthCare of Arizona, Inc. (HMO)-AZ"
q45020,60,Medicare - Fresenius Health Plans Insurance Company (PPO)-AZ
q45020,61,"Medicare - Health Choice Arizona, Inc. dba Health Choice Generations (HMO)-AZ"
q45020,62,"Medicare - Health Net of Arizona, Inc. (HMO)-AZ"
q45020,63,"Medicare - Humana Health Plan, Inc. (Arizona) (HMO)-AZ"
q45020,64,Medicare - Humana Insurance Company (PPO)-AZ
q45020,65,Medicare - Humana Insurance Company (Arizona) (PPO)-AZ
q45020,66,"Medicare - MediSun, dba Blue Cross Blue Shield of Arizona Advantage (HMO)-AZ"
q45020,67,"Medicare - PacifiCare of Colorado, Inc. (AZ/CO/NV) (HMO)-AZ"
q45020,68,Medicare - SCHN/ Mercy Care Plan (HMO)-AZ
q45020,69,"Medicare - Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV) (PPO)-AZ"
q45020,70,"Medicare - UnitedHealthcare Insurance Company (AZ,CA,NV) (PPO)-AZ"
q45020,71,"Medicare - UnitedHeatlhcare of Wisconsin, Inc. (Arizona) (HMO/POS)-AZ"
q45020,72,"Medicare - University of Arizona Health Plans - University Healthcare, Inc. (HMO)-AZ"
q45020,73,"Commercial - Aetna Health of California, Inc. (HMO/POS)-CA"
q45020,74,Commercial - Aetna Life Insurance Company (California) (PPO/EPO)-CA
q45020,75,Commercial - Alameda Alliance for Health Joint Powers Authority (HMO)-CA
q45020,76,Commercial - Anthem Blue Cross Life and Health Insurance Company (PPO)-CA
q45020,77,Commercial - Blue Cross of California dba Anthem Blue Cross (HMO/POS)-CA
q45020,78,Commercial - Blue Cross of California dba Anthem Blue Cross (PPO)-CA
q45020,79,Commercial - Blue Shield of California (HMO/POS)-CA
q45020,80,Commercial - Blue Shield of California (PPO)-CA
q45020,81,Commercial - Blue Shield of California Life & Health Insurance Company (PPO)-CA
q45020,82,Commercial - Chinese Community Health Plan (HMO)-CA
q45020,83,Commercial - Cigna Health and Life Insurance Company - California (PPO)-CA
q45020,84,"Commercial - Cigna HealthCare of California, Inc. (HMO/POS)-CA"
q45020,85,Commercial - Compass Rose Health Plan (PPO)-CA
q45020,86,Commercial - Connecticut General Life Insurance Company - California (PPO)-CA
q45020,87,"Commercial - County of Ventura, dba, Ventura County Health Care Plan (HMO)-CA"
q45020,88,Commercial - Health Net Life Insurance Company - California (PPO)-CA
q45020,89,Commercial - Health Net Life Insurance Company - California (EPO)-CA
q45020,90,"Commercial - Health Net of California, Inc. (HMO/POS)-CA"
q45020,91,Commercial - Kaiser Foundation Health Plan Inc. - Southern California (HMO)-CA
q45020,92,"Commercial - Kaiser Foundation Health Plan, Inc. - Northern California (HMO)-CA"
q45020,93,Commercial - Oscar Health Plan of California (PPO)-CA
q45020,94,Commercial - Sharp Health Plan (HMO)-CA
q45020,95,Commercial - Sutter Health Plus (HMO)-CA
q45020,96,"Commercial - United HealthCare Services, Inc. (California) (PPO)-CA"
q45020,97,Commercial - UnitedHealthcare Insurance Company (California) (PPO)-CA
q45020,98,"Commercial - UnitedHealthcare Military & Veterans Services, LLC (POS)-CA"
q45020,99,Commercial - UnitedHealthcare of California (formerly PacifiCare of California) (HMO)-CA
q45020,100,Commercial - Valley Health Plan (HMO)-CA
q45020,101,Commercial - Western Health Advantage (HMO)-CA
q45020,102,Medicaid - Alameda Alliance for Health (HMO)-CA
q45020,103,Medicaid - Blue Cross of California Partnership Plan (HMO)-CA
q45020,104,Medicaid - California Health & Wellness (HMO)-CA
q45020,105,Medicaid - CalViva Health (HMO)-CA
q45020,106,Medicaid - Care1st Health Plan (HMO)-CA
q45020,107,Medicaid - Central California Alliance for Health (HMO)-CA
q45020,108,Medicaid - Community Health Group (HMO)-CA
q45020,109,Medicaid - Contra Costa Health Plan (HMO)-CA
q45020,110,Medicaid - Gold Coast Health Plan (HMO)-CA
q45020,111,"Medicaid - Health Net of California, Inc. (HMO)-CA"
q45020,112,Medicaid - Inland Empire Health Plan (HMO)-CA
q45020,113,Medicaid - Kaiser Foundation Health Plan Inc. - Southern California (HMO)-CA
q45020,114,"Medicaid - Kaiser Foundation Health Plan, Inc. - Northern California (HMO)-CA"
q45020,115,Medicaid - Kern Health Systems (HMO)-CA
q45020,116,"Medicaid - Local Initiative Health Authority, dba L.A. Care Health Plan (HMO)-CA"
q45020,117,Medicaid - Molina Healthcare of California Partner Plan Inc. (HMO)-CA
q45020,118,Medicaid - Orange County Health Authority - dba CalOptima (HMO)-CA
q45020,119,Medicaid - Partnership HealthPlan of California (HMO)-CA
q45020,120,Medicaid - San Francisco Community Health Authority (HMO)-CA
q45020,121,Medicaid - San Joaquin County Health Commission dba Health Plan of San Joaquin (HMO)-CA
q45020,122,Medicaid - San Mateo Health Commission dba Health Plan of San Mateo (HMO)-CA
q45020,123,Medicaid - Santa Barbara San Luis Obispo Regional Health Authority dba CenCal Health (HMO)-CA
q45020,124,Medicaid - Santa Clara County Health Authority (HMO)-CA
q45020,125,"Medicare - Aetna Health of California, Inc. (HMO)-CA"
q45020,126,Medicare - Aetna Life Insurance Company (California) (PPO)-CA
q45020,127,Medicare - Alignment Health Plan (HMO)-CA
q45020,128,"Medicare - Arcadian Health Plan, Inc. (HMO)-CA"
q45020,129,Medicare - Blue Cross of California dba Anthem Blue Cross (HMO)-CA
q45020,130,Medicare - Blue Shield of California (HMO)-CA
q45020,131,Medicare - Care1st Health Plan (HMO)-CA
q45020,132,Medicare - CareMore HealthPlan (HMO)-CA
q45020,133,"Medicare - Central Health Plan of California, Inc. (HMO)-CA"
q45020,134,Medicare - Chinese Community Health Plan (HMO)-CA
q45020,135,Medicare - Community Health Group (HMO)-CA
q45020,136,"Medicare - Easy Choice Health Plan, Inc. (HMO)-CA"
q45020,137,Medicare - Fresenius Health Plans Insurance Company (PPO)-CA
q45020,138,Medicare - Golden State Medicare Health Plan (HMO)-CA
q45020,139,Medicare - Health Net Life Insurance Company - California (PPO)-CA
q45020,140,"Medicare - Health Net of California, Inc. (HMO)-CA"
q45020,141,Medicare - Inland Empire Health Plan (HMO)-CA
q45020,142,Medicare - Inter Valley Health Plan (HMO)-CA
q45020,143,Medicare - Kaiser Foundation Health Plan Inc. - Southern California (HMO)-CA
q45020,144,"Medicare - Kaiser Foundation Health Plan, Inc. - Northern California (HMO)-CA"
q45020,145,"Medicare - Local Initiative Health Authority, dba L.A. Care Health Plan (HMO)-CA"
q45020,146,Medicare - Molina Healthcare of California Partner Plan Inc. (HMO)-CA
q45020,147,Medicare - Orange County Health Authority - dba CalOptima (HMO)-CA
q45020,148,Medicare - San Mateo Health Commission dba Health Plan of San Mateo (HMO)-CA
q45020,149,"Medicare - Santa Clara County Health Authority, dba Santa Clara Family Health Plan (""SCFHP"") (HMO)-CA"
q45020,150,Medicare - SCAN Health Plan (HMO)-CA
q45020,151,Medicare - Sharp Health Plan (HMO)-CA
q45020,152,"Medicare - Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV) (PPO)-CA"
q45020,153,"Medicare - UnitedHealthcare Insurance Company (AZ,CA,NV) (PPO)-CA"
q45020,154,Medicare - UnitedHealthcare of California (formerly PacifiCare of California) (HMO)-CA
q45020,155,"Medicare - Universal Care Inc., dba Brand New Day Health Maintenance Organization (HMO)-CA"
q45020,156,Commercial - Aetna Health Inc. (Pennsylvania) - Colorado (HMO/POS)-CO
q45020,157,Commercial - Aetna Life Insurance Company (Colorado) (PPO/EPO)-CO
q45020,158,Commercial - Cigna Health and Life Insurance Company - Colorado (PPO)-CO
q45020,159,Commercial - Cigna HealthCare of Colorado (HMO/POS)-CO
q45020,160,Commercial - Compass Rose Health Plan (PPO)-CO
q45020,161,Commercial - Connecticut General Life Insurance Company - Colorado (PPO)-CO
q45020,162,"Commercial - Denver Health Medical Plan, Inc. (HMO/POS)-CO"
q45020,163,"Commercial - HMO Colorado, Inc. (HMO)-CO"
q45020,164,"Commercial - Humana Health Plan, Inc. (Colorado) (HMO/POS)-CO"
q45020,165,Commercial - Kaiser Foundation Health Plan of Colorado (HMO)-CO
q45020,166,"Commercial - Rocky Mountain Health Maintenance Organization, Inc. (PPO)-CO"
q45020,167,"Commercial - Rocky Mountain Health Maintenance Organization, Inc. (HMO)-CO"
q45020,168,"Commercial - Rocky Mountain Healthcare Options, Inc. (PPO)-CO"
q45020,169,"Commercial - Rocky Mountain Hospital and Medical Services, Inc. dba Anthem Blue Cross and Blue Shield (Colorado) (PPO)-CO"
q45020,170,"Commercial - United Healthcare Services, Inc. (Colorado) (PPO)-CO"
q45020,171,Commercial - UnitedHealthcare Insurance Company (Colorado) (PPO)-CO
q45020,172,"Commercial - UnitedHealthcare Military & Veterans Services, LLC (POS)-CO"
q45020,173,"Commercial - UnitedHealthcare of Colorado, Inc. (HMO)-CO"
q45020,174,"Medicaid - Denver Health Medical Plan, Inc. (HMO)-CO"
q45020,175,Medicaid - Kaiser Foundation Health Plan of Colorado (HMO)-CO
q45020,176,"Medicaid - Rocky Mountain Health Maintenance Organization, Inc. (HMO)-CO"
q45020,177,Medicare - Aetna Health Inc. (Pennsylvania) - Colorado (HMO)-CO
q45020,178,Medicare - Aetna Life Insurance Company (Colorado) (PPO)-CO
q45020,179,"Medicare - Denver Health Medical Plan, Inc. (HMO)-CO"
q45020,180,"Medicare - Humana Health Plan, Inc. (Colorado) (HMO)-CO"
q45020,181,Medicare - Kaiser Foundation Health Plan of Colorado (HMO)-CO
q45020,182,"Medicare - PacifiCare of Colorado, Inc. (AZ/CO/NV) (HMO)-CO"
q45020,183,"Medicare - Rocky Mountain Health Maintenance Organization, Inc. (HMO)-CO"
q45020,184,"Medicare - Sierra Health and Life Insurance Company, Inc. (HMO/POS)-CO"
q45020,185,"Medicare - Sierra Health and Life Insurance Company, Inc. (CO,MT,ND,SD,UT,WY) (PPO)-CO"
q45020,186,"Medicare - UnitedHealthcare Insurance Company(CO,UT) (PPO)-CO"
q45020,187,"Medicare - UnitedHealthcare of Colorado, Inc. (HMO)-CO"
q45020,188,Commercial - Aetna Health Inc. (Connecticut) (HMO/POS)-CT
q45020,189,Commercial - Aetna Life Insurance Company (Connecticut) (PPO/EPO)-CT
q45020,190,"Commercial - Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut (PPO)-CT"
q45020,191,"Commercial - Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut (HMO/POS)-CT"
q45020,192,Commercial - Cigna Health and Life Insurance Company - Connecticut (PPO)-CT
q45020,193,"Commercial - Cigna HealthCare of Connecticut, Inc. (HMO/POS)-CT"
q45020,194,Commercial - Compass Rose Health Plan (PPO)-CT
q45020,195,"Commercial - ConnectiCare Insurance Company, Inc. (CICI) (HMO/POS)-CT"
q45020,196,"Commercial - ConnectiCare, Inc. (HMO/POS)-CT"
q45020,197,Commercial - Connecticut General Life Insurance Company - Connecticut (PPO)-CT
q45020,198,"Commercial - Harvard Pilgrim Insurance Company, Inc. (CT) (PPO)-CT"
q45020,199,"Commercial - Oxford Health Insurance Company, Inc. ( Connecticut) (PPO)-CT"
q45020,200,"Commercial - Oxford Health Plans (CT), Inc. (HMO/POS)-CT"
q45020,201,"Commercial - United Healthcare Services, Inc (Connecticut) (PPO)-CT"
q45020,202,Commercial - UnitedHealthcare Insurance Company- Connecticut (PPO)-CT
q45020,203,"Medicaid - Community Health Network of Connecticut, Inc. (PPO)-CT"
q45020,204,"Medicaid - Community Health Network of Connecticut, Inc. (HMO)-CT"
q45020,205,"Medicaid - Community Health Network of Connecticut, Inc. (POS)-CT"
q45020,206,Medicare - Aetna Health Inc. (Connecticut) (HMO)-CT
q45020,207,Medicare - Aetna Life Insurance Company (Connecticut) (PPO)-CT
q45020,208,"Medicare - Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut (HMO)-CT"
q45020,209,"Medicare - ConnectiCare, Inc. (HMO/POS)-CT"
q45020,210,"Medicare - Oxford Health Plans (CT), Inc. (Medicare) (HMO)-CT"
q45020,211,"Medicare - Sierra Health and Life Insurance Company, Inc.-(CT,MA,ME,NH,RI,VT) (PPO)-CT"
q45020,212,Medicare - UnitedHealthcare Insurance Company (CT) (PPO)-CT
q45020,213,"Medicare - UnitedHealthcare Insurance Company - Regional (CT, MA, RI, VT) (PPO)-CT"
